bill_no,intro,link,name,passed,second
"
                 17/2019
            ","
                  08.07.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/intellectual-property-(dispute-resolution)-bill-17-2019.pdf?sfvrsn=0,Intellectual Property (Dispute Resolution) Bill,"
                   
            ","
                   Next Available Sitting
            "
"
                 16/2019
            ","
                  08.07.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/fire-safety-(amendment)-bill-16-2019.pdf?sfvrsn=0,Fire Safety (Amendment) Bill,"
                   
            ","
                   Next Available Sitting
            "
"
                 15/2019
            ","
                  08.07.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/home-team-science-and-technology-agency-bill-15-2019.pdf?sfvrsn=0,Home Team Science and Technology Agency Bill,"
                   
            ","
                   Next Available Sitting
            "
"
                 14/2019
            ","
                  08.07.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/point-to-point-passenger-transport-industry-bill-14-2019.pdf?sfvrsn=0,Point-to-Point Passenger Transport Industry Bill,"
                   
            ","
                   Next Available Sitting
            "
"
                 13/2019
            ","
                  06.05.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/road-traffic-(amendment)-bill-13-2019.pdf?sfvrsn=0,Road Traffic (Amendment) Bill,"
                   08.07.2019
            ","
                   08.07.2019
            "
"
                 12/2019
            ","
                  01.04.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/pioneer-generation-fund-(amendment)-bill12-2019.pdf?sfvrsn=0,Pioneer Generation Fund (Amendment) Bill,"
                   06.05.2019
            ","
                   06.05.2019
            "
"
                 11/2019
            ","
                  01.04.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/protection-from-harassment-(amendment)-bill11-2019.pdf?sfvrsn=0,Protection from Harassment (Amendment) Bill,"
                   07.05.2019
            ","
                   07.05.2019
            "
"
                 10/2019
            ","
                  01.04.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/protection-from-online-falsehoods-and-manipulation-bill10-2019.pdf?sfvrsn=0,Protection from Online Falsehoods and Manipulation Bill,"
                   08.05.2019
            ","
                   08.05.2019
            "
"
                 9/2019
            ","
                  26.02.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/supplementary-supply-(fy-2018)-bill--9-2019.pdf?sfvrsn=0,Supplementary Supply (FY 2018) Bill,"
                   08.03.2019
            ","
                   08.03.2019
            "
"
                 8/2019
            ","
                  26.02.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/supply-bill--8-2019.pdf?sfvrsn=0,Supply Bill,"
                   08.03.2019
            ","
                   08.03.2019
            "
"
                 7/2019
            ","
                  11.02.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/criminal-procedure-code-(amendment)-bill-7-2019.pdf?sfvrsn=0,Criminal Procedure Code (Amendment) Bill,"
                   08.03.2019
            ","
                   08.03.2019
            "
